player,display_college,watchlist_tier,source_note
Arch Manning,Texas,consensus_top,ESPN top five; scout poll top-three vote
Dante Moore,Oregon,consensus_top,ESPN top five; scout poll QB1
Julian Sayin,Ohio State,consensus_top,Scout poll top-three vote; possible 2028 stay risk
Brendan Sorsby,2027 draft prep,eligible_declared,Eligible for 2027 draft; sitting out 2026
LaNorris Sellers,South Carolina,high_variance,ESPN outside top five to watch; scout poll vote
Darian Mensah,Miami,consensus_top,ESPN top five after Miami transfer
Drew Mestemaker,Oklahoma State,consensus_top,ESPN top five after Oklahoma State transfer
CJ Carr,Notre Dame,consensus_top,ESPN top five
Sam Leavitt,LSU,high_variance,Scout poll vote; LSU transfer
Trinidad Chambliss,Ole Miss,high_variance,ESPN top names; sixth-year senior
Jayden Maiava,USC,high_variance,ESPN top names; model-relevant deep passing profile
John Mateer,Oklahoma,watch,ESPN first-round conversation watch name
Josh Hoover,Indiana,watch,ESPN first-round conversation watch name
Nico Iamaleava,UCLA,watch,ESPN first-round conversation watch name
CJ Bailey,NC State,watch,ESPN rise candidate
Demond Williams Jr.,Washington,watch,ESPN best-of-rest; size risk
Marcel Reed,Texas A&M,watch,ESPN best-of-rest; volatile tools profile
Byrum Brown,Auburn,watch,ESPN best-of-rest after Auburn transfer
DJ Lagway,Baylor,watch,ESPN tools watch after Baylor transfer
Rocco Becht,Penn State,watch,ESPN additional watch after Penn State transfer
Noah Fifita,Arizona,watch,ESPN additional watch
Avery Johnson,Kansas State,watch,ESPN additional watch
Austin Simmons,Missouri,watch,Scout intrigue; thin 2025 PFF sample
Drake Lindsey,Minnesota,watch,Pro Draft Scouting top-five watch name
Kevin Jennings,SMU,model_watch,Local PFF profile pops enough to keep on board
Dylan Raiola,Nebraska,model_watch,High-profile young QB; model has current low score
Aidan Chiles,Northwestern,watch,ESPN additional watch after Northwestern transfer
