player,draft_year,position,position_group,model_group,college,round,pick,draft_capital_bucket,overall_rank_in_class,position_rank_in_class,overall_class_percentile,position_class_percentile,outcome_grade_pff_powered,position_model_score,ceiling_grade,floor_grade,starter_probability,elite_probability,bust_probability,outcome_tier,hit_miss_label,draft_value_vs_grade,confidence_score,confidence_label,outlier_type,grade_explanation,historical_position_comps,historical_overall_comps,player_card_summary,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,actual_outcome_level,actual_outcome_flag,miss_flag,value_flag,outcome_card_class,is_bad_miss,is_good_miss,should_have_been_drafted,should_have_pick_bucket,draft_slot_regrade,outcome_maturity,display_grade,display_grade_label,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,career_stat_raw,career_honors_raw,career_stat_score,career_honors_score,career_impact_raw,position_success_score,global_success_score,score_mode,actual_value_to_team,current_value_to_team,prospect_similarity_score,site_display_score,site_display_score_label,good_bad_miss_type,redraft_class_rank,redraft_position_rank,should_have_been_drafted_display
Rod Hill,1982,DB,CB,DB,Kentucky St.,1.0,25.0,Round 1 pick,6,1,93.2,100.0,75.8,80.8,76.3,72.1,0.669,0.628,0.279,Starter-caliber profile,Starter-level hit,Strong value,85.0,High confidence,negative_outlier_missed_projection,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Rod Hill (1982, DB, Kentucky St.) graded 75.8. Tier: Starter-caliber profile. Position rank in class: #1. Draft capital: Round 1 pick. Draft value read: Strong value. Model confidence: High confidence. Why: top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included.",18.9,6.0,41.9,71.8,Starter Hit,Drafted about right,neutral,neutral,card-neutral,True,False,Round 1 caliber,32,Drafted about right,mature,52.0,Actual Value Score,0.0,0.0,0.0,6.0,,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,18.0,13.856406460551018,34.9,38.1,78.10599224923753,55.8,54.7,actual_value,55.8,68.8,82.8,52.0,Actual Value Score,neutral,32,12,Class #32 / CB #12
Bobby Watkins,1982,DB,CB,DB,Texas St.,2.0,42.0,Round 2 pick,7,2,91.8,97.1,71.2,75.3,71.6,70.4,0.642,0.604,0.296,Rotational / contributor profile,Useful contributor,Fair value,85.0,High confidence,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Bobby Watkins (1982, DB, Texas St.) graded 71.2. Tier: Rotational / contributor profile. Position rank in class: #2. Draft capital: Round 2 pick. Draft value read: Fair value. Model confidence: High confidence. Why: top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included.",17.8,32.0,82.0,70.1,Useful Contributor,Drafted about right,neutral,neutral,card-neutral,False,False,Top-15 caliber,15,Drafted about right,mature,67.3,Actual Value Score,0.0,0.0,3.0,32.0,,32.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,,40.24922359499622,25.149070388564105,67.1,69.0,142.55975256123082,67.9,66.1,actual_value,67.9,71.3,73.6,67.3,Actual Value Score,neutral,12,5,Class #12 / CB #5
Vernon Dean,1982,DB,CB,DB,San Diego St.,2.0,49.0,Round 2 pick,15,3,80.8,94.3,67.4,72.6,68.1,66.8,0.572,0.547,0.332,Rotational / contributor profile,Useful contributor,Fair value,85.0,High confidence,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Vernon Dean (1982, DB, San Diego St.) graded 67.4. Tier: Rotational / contributor profile. Position rank in class: #3. Draft capital: Round 2 pick. Draft value read: Fair value. Model confidence: High confidence. Why: top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included.",14.8,35.0,85.3,64.9,Useful Contributor,Drafted about right,neutral,neutral,card-neutral,False,False,Top-15 caliber,15,Drafted about right,mature,68.6,Actual Value Score,0.0,0.0,5.0,35.0,,34.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,,42.21374183841087,29.04402315224094,69.5,76.8,150.30033487176615,69.2,67.4,actual_value,69.2,72.3,73.0,68.6,Actual Value Score,neutral,11,4,Class #11 / CB #4
Jim Burroughs,1982,DB,CB,DB,Michigan St.,3.0,57.0,Round 2 pick,23,8,69.9,80.0,60.2,65.8,61.9,58.7,0.502,0.503,0.413,Rotational / contributor profile,Useful contributor,Fair value,85.0,High confidence,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Jim Burroughs (1982, DB, Michigan St.) graded 60.2. Tier: Rotational / contributor profile. Position rank in class: #8. Draft capital: Round 2 pick. Draft value read: Fair value. Model confidence: High confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",11.8,12.0,57.6,58.1,Useful Contributor,Drafted about right,neutral,neutral,card-neutral,False,False,Round 1 caliber,32,Drafted about right,mature,52.0,Actual Value Score,0.0,0.0,2.0,12.0,,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,,22.045407685048602,16.611305399595704,39.5,46.7,99.59149966699812,60.1,58.8,actual_value,60.1,61.2,71.9,52.0,Actual Value Score,neutral,30,11,Class #30 / CB #11
Rodney Lewis,1982,DB,CB,DB,Nebraska,3.0,58.0,Round 2 pick,21,7,72.6,82.9,62.2,68.5,63.9,59.1,0.502,0.503,0.409,Rotational / contributor profile,Useful contributor,Fair value,85.0,High confidence,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Rodney Lewis (1982, DB, Nebraska) graded 62.2. Tier: Rotational / contributor profile. Position rank in class: #7. Draft capital: Round 2 pick. Draft value read: Fair value. Model confidence: High confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",11.9,4.0,33.8,58.5,Useful Contributor,Drafted about right,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted about right,mature,42.0,Actual Value Score,0.0,0.0,0.0,4.0,,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,9.0,10.392304845413264,17.7,26.6,61.20464260492139,52.2,51.3,actual_value,52.2,59.2,72.2,42.0,Actual Value Score,neutral,41,17,Class #41 / CB #17
Vann McElroy,1982,DB,CB,DB,Baylor,3.0,64.0,Round 2 pick,19,5,75.3,88.6,63.9,69.9,66.5,57.6,0.531,0.564,0.424,Rotational / contributor profile,Useful contributor,Fair value,85.0,High confidence,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Vann McElroy (1982, DB, Baylor) graded 63.9. Tier: Rotational / contributor profile. Position rank in class: #5. Draft capital: Round 2 pick. Draft value read: Fair value. Model confidence: High confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",12.7,44.0,90.4,60.0,Useful Contributor,Major value,neutral,good_miss,card-good-miss,False,False,Top-15 caliber,15,Major value,mature,73.6,Actual Value Score,0.0,2.0,6.0,44.0,,43.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.0,1.0,52.10987926547019,46.86926647683819,81.6,93.1,181.18684568113966,74.3,72.2,actual_value,74.3,70.2,72.5,73.6,Actual Value Score,good_miss,4,1,Class #4 / CB #1
Benny Perrin,1982,DB,CB,DB,Alabama,3.0,65.0,Day 2 pick,16,4,79.5,91.4,65.1,71.2,67.6,57.3,0.541,0.57,0.427,Rotational / contributor profile,Useful contributor,Fair Day 2 value,78.0,Medium confidence,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Benny Perrin (1982, DB, Alabama) graded 65.1. Tier: Rotational / contributor profile. Position rank in class: #4. Draft capital: Day 2 pick. Draft value read: Fair Day 2 value. Model confidence: Medium confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",12.9,22.0,72.7,61.2,Useful Contributor,Drafted too late,neutral,neutral,card-neutral,False,False,Round 1 caliber,32,Drafted too late,mature,63.9,Actual Value Score,0.0,0.0,3.0,22.0,,22.0,48.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,9.0,1.0,29.0,20.784609690826528,50.6,58.1,123.05857475576491,64.5,62.9,actual_value,64.5,66.3,65.0,63.9,Actual Value Score,neutral,16,7,Class #16 / CB #7
John Krimm,1982,DB,CB,DB,Notre Dame,3.0,76.0,Day 2 pick,20,6,74.0,85.7,62.4,68.5,65.2,55.4,0.515,0.552,0.446,Rotational / contributor profile,Useful contributor,Fair Day 2 value,85.0,High confidence,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"John Krimm (1982, DB, Notre Dame) graded 62.4. Tier: Rotational / contributor profile. Position rank in class: #6. Draft capital: Day 2 pick. Draft value read: Fair Day 2 value. Model confidence: High confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",12.0,1.0,14.8,58.5,Useful Contributor,Drafted about right,neutral,neutral,card-neutral,True,False,Round 2 caliber,64,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,1.0,,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,4.6,10.8,26.908121055678468,43.7,43.3,actual_value,43.7,54.2,64.6,32.0,Actual Value Score,neutral,49,23,Class #49 / CB #23
Paul Lankford,1982,DB,CB,DB,Penn St.,3.0,80.0,Day 2 pick,25,9,67.1,77.1,56.8,61.6,59.0,54.3,0.486,0.513,0.457,Depth / replacement-level profile,Replacement/depth outcome,Fair Day 2 value,73.0,Medium confidence,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Paul Lankford (1982, DB, Penn St.) graded 56.8. Tier: Depth / replacement-level profile. Position rank in class: #9. Draft capital: Day 2 pick. Draft value read: Fair Day 2 value. Model confidence: Medium confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",11.1,26.0,76.6,56.7,Depth / Replacement,Massive steal,neutral,good_miss,card-good-miss,False,False,Top-15 caliber,15,Massive steal,mature,67.4,Actual Value Score,0.0,0.0,5.0,26.0,,26.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,3.0,35.91406309431366,31.747780411981918,60.6,82.2,143.4200458573585,68.0,66.2,actual_value,68.0,61.3,63.8,67.4,Actual Value Score,good_miss,13,6,Class #13 / CB #6
Bruce McNorton,1982,DB,CB,DB,Georgetown (KY),4.0,96.0,Day 2 pick,37,14,50.7,62.9,46.7,49.3,47.6,52.5,0.437,0.426,0.475,Depth / replacement-level profile,Massive positive outlier,Day 2 miss,73.0,Medium confidence,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Bruce McNorton (1982, DB, Georgetown (KY)) graded 46.7. Tier: Depth / replacement-level profile. Position rank in class: #14. Draft capital: Day 2 pick. Draft value read: Day 2 miss. Model confidence: Medium confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",9.8,37.0,86.5,53.5,Depth / Replacement,Major value,neutral,good_miss,card-good-miss,False,True,Round 1 caliber,32,Major value,mature,69.2,Actual Value Score,0.0,0.0,6.0,37.0,,37.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,1.0,42.24922359499622,31.338618199670726,69.6,81.3,154.58816860878426,69.9,68.0,actual_value,69.9,58.5,62.3,69.2,Actual Value Score,good_miss,9,3,Class #9 / CB #3
