draft_year,round,pick,team,player,college,success_tier,hit,seasons_primary_starter,label_status,label_confidence,notes
2015,1,1,TB,Jameis Winston,Florida State,2,0,5,final,high,"5 seasons as TB starter incl 5000-yd 2019, 30-INT season; journeyman backup since (NO/CLE/NYG)"
2015,1,2,TEN,Marcus Mariota,Oregon,2,0,4,final,high,"4 seasons TEN starter incl 2017 playoff win; lost job 2019; long backup/bridge career since"
2015,3,75,NO,Garrett Grayson,Colorado State,0,0,0,final,high,"Never threw a regular-season NFL pass"
2015,3,89,STL,Sean Mannion,Oregon State,1,0,0,final,high,"Long-tenured backup (LAR/MIN/SEA), minimal starts"
2015,4,103,NYJ,Bryce Petty,Baylor,0,0,0,final,high,"7 career starts, out of league by 2019"
2015,5,147,GB,Brett Hundley,UCLA,1,0,1,final,high,"9 starts for GB in 2017 (Rodgers injury), backup career after"
2015,7,250,DEN,Trevor Siemian,Northwestern,1,0,2,final,high,"Started ~24 games for DEN 2016-17, journeyman backup since"
2016,1,1,LAR,Jared Goff,California,4,1,9,final,high,"Franchise QB: SB LIII with Rams, revived Lions into contender, multiple Pro Bowls and mega extensions"
2016,1,2,PHI,Carson Wentz,North Dakota State,3,1,7,final,high,"MVP-caliber 2017, big second contract; flamed out post-2020, journeyman by 2022"
2016,1,26,DEN,Paxton Lynch,Memphis,0,0,0,final,high,"4 career starts, classic first-round bust"
2016,2,51,NYJ,Christian Hackenberg,Penn State,0,0,0,final,high,"Never appeared in an NFL regular-season game"
2016,3,91,NE,Jacoby Brissett,NC State,2,0,3,final,high,"Quintessential bridge starter: IND 2017/2019, CLE 2022; ~50 career starts, respected backup-plus"
2016,3,93,CLE,Cody Kessler,USC,1,0,1,final,high,"8 starts as 2016 rookie, out of league by 2020"
2016,4,100,OAK,Connor Cook,Michigan State,0,0,0,final,high,"1 career start (playoff), quickly out"
2016,4,135,DAL,Dak Prescott,Mississippi State,4,1,8,final,high,"Franchise QB steal in R4: OROY, multiple Pro Bowls, led NFL in TD passes 2023, two mega contracts"
2016,4,139,BUF,Cardale Jones,Ohio State,0,0,0,final,high,"Barely played, out of league quickly"
2016,5,162,KC,Kevin Hogan,Stanford,1,0,0,final,medium,"Handful of CLE appearances/starts, brief career"
2016,6,187,WAS,Nate Sudfeld,Indiana,1,0,0,final,medium,"Long-tenured PHI backup, minimal game action"
2016,6,191,DET,Jake Rudock,Michigan,0,0,0,final,medium,"Practice-squad/3rd-string tenure, negligible action"
2016,6,201,JAX,Brandon Allen,Arkansas,1,0,0,final,high,"Long journeyman backup (JAX/DEN/CIN/SF), ~9 career starts"
2016,6,207,SF,Jeff Driskel,Louisiana Tech,1,0,0,final,medium,"Journeyman backup with spot starts (CIN/DET/HOU), also used as TE/gadget"
2016,7,223,MIA,Brandon Doughty,Western Kentucky,0,0,0,final,high,"Never appeared in a regular-season game"
2017,1,2,CHI,Mitchell Trubisky,North Carolina,2,0,4,final,high,"4 seasons CHI starter, 2 playoff berths, Pro Bowl alternate 2018; backup since 2021"
2017,1,10,KC,Patrick Mahomes,Texas Tech,4,1,8,final,high,"Generational: multiple MVPs, 3 Super Bowl titles, 5 SB appearances through 2025"
2017,1,12,HOU,Deshaun Watson,Clemson,3,1,3,final,high,"Elite HOU peak (led NFL passing yards 2020, 3 Pro Bowls); trade + suspension + injuries cratered CLE tenure"
2017,2,52,CLE,DeShone Kizer,Notre Dame,0,0,1,final,high,"15 rough starts as 2017 rookie (0-15 team), effectively done after"
2017,3,87,NYG,Davis Webb,California,1,0,0,final,medium,"Career backup, 1 late-season start; moved into coaching"
2017,3,104,SF,C.J. Beathard,Iowa,1,0,0,final,high,"~12 career starts across SF/JAX as backup"
2017,4,135,PIT,Joshua Dobbs,Tennessee,1,0,1,final,high,"Journeyman backup; 2023 'Passtronaut' stretch with 13 starts (ARI/MIN)"
